track_id,track_name,artist_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,is_viral
track_000000,Song 1,Artist D,10,232727,0,0.7957962893885334,0.7514379330856781,3,-13.28559818493671,0,0.0029346820983931787,0.5203314536891825,0.07438433885525855,0.14573199492754518,0.6847914050225976,145.0562792662014,4,0
track_000001,Song 2,Artist C,15,205305,0,0.7256660469967509,0.878709207150594,3,-12.813166946543252,1,0.018619459354830118,0.4198933536328478,0.007971768572950103,0.18149729038212117,0.3374891533725133,79.72939149646677,4,0
track_000002,Song 3,Artist A,1,185725,1,0.564329179567133,0.6955255418595557,6,-7.1870756939766665,1,0.2869313547764486,0.31398410894479917,0.2578130237772013,0.26586261834278574,0.3395228049269165,63.55867774417332,4,0
track_000003,Song 4,Artist D,57,207313,0,0.7876278197268776,0.6596127560792087,3,-3.685757153304227,0,0.03236766849595037,0.305600711977921,0.0399653928523561,0.2201406317095456,0.5282132570657347,76.7811514267156,4,0
track_000004,Song 5,Artist B,19,244358,0,0.6584309311037017,0.769370657555962,1,-6.452752920906695,0,0.03602230417263695,0.16821385785755344,0.019365957550475835,0.26691745671214534,0.7890238141861243,72.64056780761716,4,0
track_000005,Song 6,Artist A,54,198953,0,0.7322851655276931,0.5390540201753489,0,-10.229135746949732,0,0.2671256239865895,0.16266205196608838,0.14035366754054754,0.03913951550496466,0.4442968459407849,161.6337950418335,4,0
track_000006,Song 7,Artist B,9,175591,0,0.7081393213757026,0.8549501657414503,1,-9.17263495696528,0,0.08744890148386723,0.09838522069692206,0.0763701082889693,0.19200229774941296,0.4526890617616879,171.2735824958308,4,0
track_000007,Song 8,Artist E,4,158044,0,0.3337029799581761,0.5338395953442137,4,-4.398071732804892,1,0.001871841441544528,0.4285600108782145,0.14577579983814562,0.293759821276298,0.3751455143160903,79.61176213311336,4,0
track_000008,Song 9,Artist A,27,249312,0,0.6867908341172416,0.7584927714367803,8,-7.661835469611834,1,0.04993590856504726,0.2442321333367091,0.048717524488445775,0.12377324985177898,0.7614048475018961,175.16407849235216,4,0
track_000009,Song 10,Artist B,36,209135,0,0.8846837222669921,0.6242810953658865,2,-7.350841182021521,1,0.01676087421002688,0.25499537802317795,0.07326153182844382,0.050617878614151304,0.45702425943720326,120.99420581490475,4,0
track_000010,Song 11,Artist E,32,233252,0,0.8274810817241806,0.7126670531718701,3,-12.896036761327938,1,0.04474201865016922,0.06753590748378506,0.009006284160370132,0.09727326627580063,0.46922077455196753,140.56638490262304,4,0
track_000011,Song 12,Artist E,31,242409,0,0.6006290190898127,0.7992493134953192,9,-6.820635972326523,1,0.15346241044885295,0.3951158297094852,0.16061194499362494,0.45342430332342903,0.21918741032020977,74.43734163703057,4,0
track_000012,Song 13,Artist A,40,284899,0,0.7780453881426769,0.8398753258267022,3,-8.118745342520567,0,0.012297631332104864,0.24553110336875986,0.09103370815216882,0.22091635720041336,0.569952332179612,80.52467503688356,4,0
